masked_sentence,idiom,label
המנהיג <mask> בגיל 100.,לאבותיו נאסף,1
המנהיג <mask> בגיל 100.,יודע צדיק נפש בהמתו,0
מדינאים רבים <mask> של מנחם בגין זכרונו לברכה.,לאורו הלכו,1
מדינאים רבים <mask> של מנחם בגין זכרונו לברכה.,ליבו סמוך ובטוח,0
המלך הרחיב את צבאו <mask>,לגיון של מלך,1
המלך הרחיב את צבאו <mask>,שעיר לעזאזל,0
"המנהיג שמעל בכספי הצבור, נזכר לדראון <mask>",לדראון עולם,1
"המנהיג שמעל בכספי הצבור, נזכר לדראון <mask>",לפניו הולך שמו,0
"התכנית להרחבת כביש החוף נראית טובה, אך למעשה היא להלכה <mask>",להלכה ולא למעשה,1
"התכנית להרחבת כביש החוף נראית טובה, אך למעשה היא להלכה <mask>",יצא לתרבות רעה,0
חבר הכנסת התבקש <mask>,להוציא את הערמונים מהאש,1
חבר הכנסת התבקש <mask>,אין לאל ידו,0
עתיד המזרח התיכון <mask>,לוט בערפל,1
עתיד המזרח התיכון <mask>,ישר את ההדורים,0
הילד הקטן <mask> אל העוגה שהונחה על השלחן.,לטש את עיניו,1
הילד הקטן <mask> אל העוגה שהונחה על השלחן.,כל דאלים גבר,0
"מפקד חיל האויר היה <mask> כי הפעולה תצליח, ואכן כך היה.",ליבו סמוך ובטוח,1
"מפקד חיל האויר היה <mask> כי הפעולה תצליח, ואכן כך היה.",לאבותיו נאסף,0
ה' הוציא את בני ישראל ממצרים <mask>,ליל שימורים,1
ה' הוציא את בני ישראל ממצרים <mask>,עבד כי ימלוך,0
בראש התעודה או המלצה נהוג לכתב לכל המענין או <mask>,לכל מאן דבעי,1
בראש התעודה או המלצה נהוג לכתב לכל המענין או <mask>,לא נס לחו,0
"התובע בקש להחמיר בעונשו של הפוליטיקאי, לא רק בגלל החטא או הכבדה, אלא גם <mask>",למען יראו וייראו,1
"התובע בקש להחמיר בעונשו של הפוליטיקאי, לא רק בגלל החטא או הכבדה, אלא גם <mask>",יש לו מהלכים,0
ההסכם בין המדינות נחתם לעיני <mask>,לעיני השמש,1
ההסכם בין המדינות נחתם לעיני <mask>,היה לצנינים בעיניו,0
שמו של הרופא <mask> רבים בקשו להבדק על ידו.,לפניו הולך שמו,1
שמו של הרופא <mask> רבים בקשו להבדק על ידו.,דיה לצרה בשעתה,0
ההימורים בקזינו הם בבחינת לפתח <mask>,לפתח חטאת רובץ,1
ההימורים בקזינו הם בבחינת לפתח <mask>,גמר אומר,0
התלמיד הכין את שעורי הבית כדי <mask>,לצאת ידי חובה,1
התלמיד הכין את שעורי הבית כדי <mask>,סלע המחלוקת,0
הנער המפוחד <mask> וברח מהמקום.,לקח את רגליו,1
הנער המפוחד <mask> וברח מהמקום.,שדה חמד,0
מפלגת הגמלאים היתה <mask> הוקמה הממשלה.,לשון המאזנים,1
מפלגת הגמלאים היתה <mask> הוקמה הממשלה.,נכסי צאן ברזל,0
"המעמד לתפקיד בכיר נפסל, כיוון שתלויה <mask>",מאחוריו תלויה לו קופה של שרצים,1
"המעמד לתפקיד בכיר נפסל, כיוון שתלויה <mask>",בא בימים,0
הבטחות הפוליטיקאים לפני הבחירות הן לעתים קרובות מגדל <mask>,מגדל הפורח באויר,1
הבטחות הפוליטיקאים לפני הבחירות הן לעתים קרובות מגדל <mask>,לאבותיו נאסף,0
העתונות <mask> בפרשת השחיתות.,מגלה טפח ומכסה טפחיים,1
העתונות <mask> בפרשת השחיתות.,ידו היתה במעל,0
המהמר עבר <mask> עד שירד מנכסיו.,מדחי אל דחי,1
המהמר עבר <mask> עד שירד מנכסיו.,כזה ראה וקדש,0
"הגנב שנכשל בעונש קל, כיוון שהודה מיד באשמה, יצא בזול על פי הכלל <mask>",מודה ועוזב ירוחם,1
"הגנב שנכשל בעונש קל, כיוון שהודה מיד באשמה, יצא בזול על פי הכלל <mask>",עשה לו כנפיים,0
"רוכשי הדירות בחברה הקבלנית שפשטה רגל, שירדה מנכסיה, עומדים כעת, לאחר שהשקיעו בדירה הנכספת את כל הונם, בפני <mask>",מול שוקת שבורה,1
"רוכשי הדירות בחברה הקבלנית שפשטה רגל, שירדה מנכסיה, עומדים כעת, לאחר שהשקיעו בדירה הנכספת את כל הונם, בפני <mask>",עשה לילות כימים,0
"עם המעבר לבית חדש ולקראת שנת הלמודים החדשה הבטיחו רותם ועמית להוריהם כי יעזבו את חברתם הרעה, ולא ישבו <mask> לצים.",מושב לצים,1
"עם המעבר לבית חדש ולקראת שנת הלמודים החדשה הבטיחו רותם ועמית להוריהם כי יעזבו את חברתם הרעה, ולא ישבו <mask> לצים.",קוצו של יוד,0
"בלעם הזהיר את בלק ואמר לו, כי לא יוכל לברך או לקלל את עם ישראל <mask>",מטוב עד רע,1
"בלעם הזהיר את בלק ואמר לו, כי לא יוכל לברך או לקלל את עם ישראל <mask>",שרגא בטיהרא,0
<mask> קראו המלאכים זה אל זה.,מלוא כל הארץ כבודו,1
<mask> קראו המלאכים זה אל זה.,יצאה נפשו,0
"לצערי, עובדים רבים הם <mask> והם משבחים את המנהל כדי למצוא חן בעיניו.",מלחך פנכה,1
"לצערי, עובדים רבים הם <mask> והם משבחים את המנהל כדי למצוא חן בעיניו.",יוצא חלציו,0
מאז הקמתה נלחמת מדינת ישראל <mask>,מלחמת קיום,1
מאז הקמתה נלחמת מדינת ישראל <mask>,יש לו מהלכים,0
"אבי, <mask> עלה לארץ ישראל בשנת 1935.",מנוחתו עדן,1
"אבי, <mask> עלה לארץ ישראל בשנת 1935.",קפא על שמריו,0
הבטחותיהם של חברי-כנסת רבים לסייע לציבור הבוחרים הן בגדר מס שפתיים <mask> [PAD],מס שפתיים,1
הבטחותיהם של חברי-כנסת רבים לסייע לציבור הבוחרים הן בגדר מס שפתיים <mask> [PAD],השליך נפשו מנגד,0
"במבצע אנטבה [יוני 1976], מבצע יונתן, פעלו חיילי סירת מטכל [הטמכל היא היחידה המובחרת ביותר <mask> ומשמנה של צהל.",מסולתה ומשמנה,1
"במבצע אנטבה [יוני 1976], מבצע יונתן, פעלו חיילי סירת מטכל [הטמכל היא היחידה המובחרת ביותר <mask> ומשמנה של צהל.",החזיר עטרה ליושנה,0
"בעת שהותו בכלבו למד העברין לקרוא ולכתוב, מעז <mask>",מעז יצא מתוק,1
"בעת שהותו בכלבו למד העברין לקרוא ולכתוב, מעז <mask>",כלכל את דבריו,0
החולה יצא <mask> מהשיחה עם רופאו האישי.,מפח נפש,1
החולה יצא <mask> מהשיחה עם רופאו האישי.,ליל שימורים,0
בית הכנסת היה מלא <mask>,מפה אל פה,1
בית הכנסת היה מלא <mask>,עבד כי ימלוך,0
"מורי ישראל שזכו בפרס חנוך, הם <mask>",מצדיקי הרבים,1
"מורי ישראל שזכו בפרס חנוך, הם <mask>",חדשים לבקרים,0
המשטרה פועלת <mask>,מציל עשוק מיד עשקו,1
המשטרה פועלת <mask>,כלאחר יד,0
"לאחר שקבלתי את המכונית, הבנתי כי <mask> טעות.",מקח טעות,1
"לאחר שקבלתי את המכונית, הבנתי כי <mask> טעות.",שרגא בטיהרא,0
"כשהגענו לפסגת החרמון, נפרש לנגד עינינו מרבד <mask> היה מכסה בשלג לבן.",מרבד קסמים,1
"כשהגענו לפסגת החרמון, נפרש לנגד עינינו מרבד <mask> היה מכסה בשלג לבן.",חסר פניות,0
"אדם עשיר שצבר נכסים רבים, דאג מאוד לרכושו, וכך התקים בו הפתגם: מרבה <mask>",מרבה נכסים מרבה דאגה,1
"אדם עשיר שצבר נכסים רבים, דאג מאוד לרכושו, וכך התקים בו הפתגם: מרבה <mask>",פקח את עיניו,0
<mask> של הורי היתה לעלות לארץ ישראל ולהתריש בה.,משאת נפש,1
<mask> של הורי היתה לעלות לארץ ישראל ולהתריש בה.,מרבד קסמים,0
"ענקין, לצערנו, על חברי כנסת חשודים, על <mask>",משענת קנה רצוץ,1
"ענקין, לצערנו, על חברי כנסת חשודים, על <mask>",לוט בערפל,0
חתן התלמוד העולמי מנעם נרקיס נשאל: כיצד אתה זוכר את כל השס [ששה סדרי משנה]? והוא <mask> לו.,משנה סדורה לו,1
חתן התלמוד העולמי מנעם נרקיס נשאל: כיצד אתה זוכר את כל השס [ששה סדרי משנה]? והוא <mask> לו.,על פיו ישק,0
"עלינו ליען באתר הניבים, כי מתוך <mask>",מתוך שלא לשמה בא לשמה,1
"עלינו ליען באתר הניבים, כי מתוך <mask>",חמד לו לצון,0
מנהל בית הספר הוא <mask> הוא משמש דגמה אישית לתלמידיו ולמוריו.,נאה דורש ונאה מקיים,1
מנהל בית הספר הוא <mask> הוא משמש דגמה אישית לתלמידיו ולמוריו.,הצבי ישראל על במותיך חלל איך נפלו גיבורים,0
הפוליטיקאי הוא <mask> הוא אינו מבצע את הבטחותיו.,נאה דורש ואין נאה מקיים,1
הפוליטיקאי הוא <mask> הוא אינו מבצע את הבטחותיו.,אבן שאין לה הופכין,0
המנהיג <mask> בגיל 100.,נאסף אל אבותיו,1
המנהיג <mask> בגיל 100.,על כרעי תרנגולת,0
"אין איש יודע מה יקרה מחר, <mask> לשוטים.",נבואה ניתנה לשוטים,1
"אין איש יודע מה יקרה מחר, <mask> לשוטים.",ישב על המדוכה,0
מפקד חיל האויר <mask> והחל לבדק את פרטי התאונה הקטלנית.,נכנס בעובי הקורה,1
מפקד חיל האויר <mask> והחל לבדק את פרטי התאונה הקטלנית.,יד רוחצת יד,0
שירת ביאליק היא <mask> של התרבות העברית.,נכסי צאן ברזל,1
שירת ביאליק היא <mask> של התרבות העברית.,כלאחר יד,0
העקרון ואהבת לרעך כמוך היה <mask> והוא עזר לכל אדם שנזקק לעזרה.,נר לרגליו,1
העקרון ואהבת לרעך כמוך היה <mask> והוא עזר לכל אדם שנזקק לעזרה.,פקח את עיניו,0
"העובדה ששר בממשלת ישראל נחשד בקבלת שוחד, נשגבה מבינתי, <mask> צבור יכול להגיע לשפל כזה.",נשגב מבינתו,1
"העובדה ששר בממשלת ישראל נחשד בקבלת שוחד, נשגבה מבינתי, <mask> צבור יכול להגיע לשפל כזה.",בכיה לדורות,0
הבטחותיו של המועמד לראשות הממשלה היו נשיאים <mask> לא קים אותן.,נשיאים ורוח וגשם אין,1
הבטחותיו של המועמד לראשות הממשלה היו נשיאים <mask> לא קים אותן.,שמחה לאיד,0
התלמיד <mask> ברב שהיה גדול בתורה.,נתלה באילן גדול,1
התלמיד <mask> ברב שהיה גדול בתורה.,עשה לילות כימים,0
"למראית העין, העיר נראית שקטה ושלוה, אך בלילות מתנהלים חיי <mask>",סדום ועמורה,1
"למראית העין, העיר נראית שקטה ושלוה, אך בלילות מתנהלים חיי <mask>",דיה לצרה בשעתה,0
הנושא של החזרת השטחים היה <mask> בין המפלגות.,סלע המחלוקת,1
הנושא של החזרת השטחים היה <mask> בין המפלגות.,שפת חלקות,0
הצבעה בקריאה טרומית <mask> על התכנית להקמת בית ספר חדש.,סתם את הגולל,1
הצבעה בקריאה טרומית <mask> על התכנית להקמת בית ספר חדש.,יד לפה,0
"דומה התנהגותו של הפקיד הזוטר, שנתמנה למנהל, לעבד <mask>",עבד כי ימלוך,1
"דומה התנהגותו של הפקיד הזוטר, שנתמנה למנהל, לעבד <mask>",בכיה לדורות,0
"למרות התאונה הקשה, העולם <mask>",עולם כמנהגו נוהג,1
"למרות התאונה הקשה, העולם <mask>",כמהלך קליפת השום,0
איני יודע כיצד הצליח המנתח לבצע את הנתוח המסבך. הוא ממש עושה <mask>,עושה נפלאות לבדו,1
איני יודע כיצד הצליח המנתח לבצע את הנתוח המסבך. הוא ממש עושה <mask>,סדום ועמורה,0
האשה היא <mask> של בעלה.,עזר כנגדו,1
האשה היא <mask> של בעלה.,איפכא מסתברא,0
בעקבות המלחמה בצפון המדינה לא יצאו הדייגים לעבודה במשך עידן <mask>,עידן ועידנים,1
בעקבות המלחמה בצפון המדינה לא יצאו הדייגים לעבודה במשך עידן <mask>,על כרעי תרנגולת,0
"<mask> של העולם הערבי הוקמה מדינת ישראל בשנת 1948, ומאז היא חיה, קיימת ובועטת.",על אפו ועל חמתו,1
"<mask> של העולם הערבי הוקמה מדינת ישראל בשנת 1948, ומאז היא חיה, קיימת ובועטת.",שקלא וטריא,0
"לדעת רבים, התקציב השנתי של מדינת ישראל בנוי על כרעי <mask>",על כרעי תרנגולת,1
"לדעת רבים, התקציב השנתי של מדינת ישראל בנוי על כרעי <mask>",ליל שימורים,0
גנבות בשדות הקבוץ ומעמדותיו העמידו את הקבוץ על <mask> מבחינה כלכלית.,על עברי פי פחת,1
גנבות בשדות הקבוץ ומעמדותיו העמידו את הקבוץ על <mask> מבחינה כלכלית.,לדראון עולם,0
פרעה הבטיח ליוסף כי <mask> דבר.,על פיו ישק,1
פרעה הבטיח ליוסף כי <mask> דבר.,יצאו לו מוניטין,0
"למרות הלחצים שהופעלו עליו, עמד ראש הממשלה בדיבורו <mask> על עקרונותיו.",עמד בדיבורו,1
"למרות הלחצים שהופעלו עליו, עמד ראש הממשלה בדיבורו <mask> על עקרונותיו.",בור סוד שאינו מאבד טיפה,0
חולשתו לקלפים היא <mask> של הדבר.,עקב אכילס,1
חולשתו לקלפים היא <mask> של הדבר.,טבין ותקילין,0
"הידיעה על התקנת תקנות מעודכנות בראשות הממשלה, יצחק רבין, זכרונו לברכה, עשתה לה <mask>",עשה לו כנפיים,1
"הידיעה על התקנת תקנות מעודכנות בראשות הממשלה, יצחק רבין, זכרונו לברכה, עשתה לה <mask>",נאה דורש ואין נאה מקיים,0
עשיתי <mask> העולים החדשים בערב חג הפסח.,עשה לילות כימים,1
עשיתי <mask> העולים החדשים בערב חג הפסח.,קרא תיגר על,0
מקימי התנועה <mask> למען החזרת התשובים.,עשה לנפשות,1
מקימי התנועה <mask> למען החזרת התשובים.,חמתה מים מלאה,0
"בכל מערכות ישראל, בים, ביבשה ובאויר, התגלו חילי צהל כעשויים <mask>",עשוי לבלי חת,1
"בכל מערכות ישראל, בים, ביבשה ובאויר, התגלו חילי צהל כעשויים <mask>",מציל עשוק מיד עשקו,0
הדיון בהנהלה התמקד <mask> ולא בעיותיה הקריטיות של החברה.,פכים קטנים,1
הדיון בהנהלה התמקד <mask> ולא בעיותיה הקריטיות של החברה.,החזיר עטרה ליושנה,0
אנו חיים בתקופה שבה <mask>,פני הדור כפני הכלב,1
אנו חיים בתקופה שבה <mask>,ידו היתה במעל,0
"השופט <mask> של השר, והוא הבין את טעותו.",פקח את עיניו,1
"השופט <mask> של השר, והוא הבין את טעותו.",כיד המלך,0
עובדי המפעל התלוננו שהנהלת המפעל רואה בהם <mask>,פרה חולבת,1
עובדי המפעל התלוננו שהנהלת המפעל רואה בהם <mask>,מגלה טפח ומכסה טפחיים,0
"הבטחתי לצלצל אליך, אך הדבר <mask>",פרח לו מהזיכרון,1
"הבטחתי לצלצל אליך, אך הדבר <mask>",טלית שכולה תכלת,0
המנהל <mask>,פתח בכד וסיים בחבית,1
המנהל <mask>,לגיון של מלך,0
הארגונים הירוקים <mask> לבעלי החיים.,פתח פיך לאלם,1
הארגונים הירוקים <mask> לבעלי החיים.,טמן ראשו בחול,0
"התלמיד שחשד כי נפל קורבן להערכה לא הוגנת בבחינה, <mask>",צעק חמס,1
"התלמיד שחשד כי נפל קורבן להערכה לא הוגנת בבחינה, <mask>",כחומר ביד היוצר,0
המאמן הותיק הביט <mask> על הצלחתו של המאמן הצעיר.,צרות עין,1
המאמן הותיק הביט <mask> על הצלחתו של המאמן הצעיר.,העלה חרס בידו,0
אל תזלזלו במורה זה. הוא אינו <mask> יש לו כשרון הוראה.,קוטל קנים,1
אל תזלזלו במורה זה. הוא אינו <mask> יש לו כשרון הוראה.,יצא לתרבות רעה,0
"המעמד לתפקיד בכיר נפסל, כיוון שתלויה <mask>",קופה של שרצים תלויה לו מאחוריו,1
"המעמד לתפקיד בכיר נפסל, כיוון שתלויה <mask>",קרא תיגר על,0
"חוקרי המשטרה דורשים לדעת את כל פרטיו, עד <mask>",קוצו של יוד,1
"חוקרי המשטרה דורשים לדעת את כל פרטיו, עד <mask>",יצא לתרבות רעה,0
הסרט על השואה היה <mask>,קורע לב,1
הסרט על השואה היה <mask>,כל דאלים גבר,0
הישוב <mask> ולא התפתח במשך שנים רבות.,קפא על שמריו,1
הישוב <mask> ולא התפתח במשך שנים רבות.,בור ועם הארץ,0
<mask> מלפרט את כל מעלותיו של האיש.,קצרה היריעה,1
<mask> מלפרט את כל מעלותיו של האיש.,כיד המלך,0
חמשת האחים <mask> זה על זה בעת חלוקת הירושה.,קרא תיגר על,1
חמשת האחים <mask> זה על זה בעת חלוקת הירושה.,קצרה היריעה,0
"לצערנו, רבים מן הפוליטיקאים שוכחים את יעודם האמתי והופכים את עיסוקם לקרדם <mask>",קרדום לחפור בו,1
"לצערנו, רבים מן הפוליטיקאים שוכחים את יעודם האמתי והופכים את עיסוקם לקרדם <mask>",תולה את הקולר בצווארו,0
<mask> אשר בו ישרור שלום במזרח התיכון.,קרוב היום,1
<mask> אשר בו ישרור שלום במזרח התיכון.,מודה ועוזב ירוחם,0
האב <mask> והזהיר את בנו מפני הסכנה.,ראה את הנולד,1
האב <mask> והזהיר את בנו מפני הסכנה.,בור סוד שאינו מאבד טיפה,0
"מאז זכה בפרס, <mask>",ראשו בעננים,1
"מאז זכה בפרס, <mask>",לא יסולא בפז,0
החשוד <mask> וטען כי לא היה לו כל קשר למעשה.,רחץ בנקיון כפיו,1
החשוד <mask> וטען כי לא היה לו כל קשר למעשה.,בא בימים,0
"בעל המפעל פשט את הרגל, כי היו תלויים רחיים <mask>",ריחיים בצווארו,1
"בעל המפעל פשט את הרגל, כי היו תלויים רחיים <mask>",כמרקחה,0
"שאלתי את המורה שאלה, והוא השיב לי כי זוהי <mask>",שאלת תם,1
"שאלתי את המורה שאלה, והוא השיב לי כי זוהי <mask>",בין השיטין,0
האב היה <mask> מהישגי בנו.,שבע רצון,1
האב היה <mask> מהישגי בנו.,חמד לו לצון,0
"בזכות השקעתם של הסופרים, הפך המזבלה לשדות <mask>",שדה חמד,1
"בזכות השקעתם של הסופרים, הפך המזבלה לשדות <mask>",מרבד קסמים,0
"לאחר שהשקיע את כספו בעסק כושל, הבין ידידי ששם <mask>",שם כספו על קרן הצבי,1
"לאחר שהשקיע את כספו בעסק כושל, הבין ידידי ששם <mask>",אל הנער הזה התפללתי,0
הלוחמים <mask> בעת הגנתם על מדינת ישראל.,שם נפשו בכפו,1
הלוחמים <mask> בעת הגנתם על מדינת ישראל.,סלע המחלוקת,0
"<mask> לפניו, וחולים רבים בקשו להבדק על ידו.",שמו הולך לפניו,1
"<mask> לפניו, וחולים רבים בקשו להבדק על ידו.",כבש פניו בקרקע,0
"היתה זו <mask> של הנבחרת שהפסידה ליריבתה, לאחר ששחקניה התגאו בנצחונם עוד לפני המשחק.",שמחה לאיד,1
"היתה זו <mask> של הנבחרת שהפסידה ליריבתה, לאחר ששחקניה התגאו בנצחונם עוד לפני המשחק.",לא מצא את ידיו ואת רגליו,0
"מנהל הבנק הואשם במעילה בכספים, אך למעשה הוא היה שעיר <mask> חברי ההנהלה.",שעיר לעזאזל,1
"מנהל הבנק הואשם במעילה בכספים, אך למעשה הוא היה שעיר <mask> חברי ההנהלה.",משאת נפש,0
"בטרם נפוצו בני האדם על פני כל הארץ, היתה להם שפה אחת <mask> [PAD] [PAD]",שפה אחת ודברים אחדים,1
"בטרם נפוצו בני האדם על פני כל הארץ, היתה להם שפה אחת <mask> [PAD] [PAD]",לצאת ידי חובה,0
המועמד נסה לפתות את הבוחרים <mask>,שפת חלקות,1
המועמד נסה לפתות את הבוחרים <mask>,הפך קערה על פיה,0
לאחר מות בנו לבש האב <mask>,שק ואפר,1
לאחר מות בנו לבש האב <mask>,כל דאלים גבר,0
לאחר <mask> הוחלט להפסיק את העיצומים.,שקלא וטריא,1
לאחר <mask> הוחלט להפסיק את העיצומים.,תופס את החבל בשני ראשיו,0
הדלקת נרות בצהרים היא בבחינת <mask>,שרגא בטיהרא,1
הדלקת נרות בצהרים היא בבחינת <mask>,צרות עין,0
"הבן שבר את החלון, אך <mask> של אחיו.",תולה את הקולר בצווארו,1
"הבן שבר את החלון, אך <mask> של אחיו.",כמהלך קליפת השום,0
"רבים נוהגים לשתות משקאות נטולי סכר, אך יחד עם זאת הם מוסיפים לזלול, וכך <mask> בשני ראשיו.",תופס את החבל בשני ראשיו,1
"רבים נוהגים לשתות משקאות נטולי סכר, אך יחד עם זאת הם מוסיפים לזלול, וכך <mask> בשני ראשיו.",פתח בכד וסיים בחבית,0
"כאשר שמעו חברי הכנסת את דבריו של השר, <mask>",תצילינה שתי אזניו,1
"כאשר שמעו חברי הכנסת את דבריו של השר, <mask>",היה כמרקחה,0
הצדדים <mask> וחתמו על ההסכם.,תקע כף,1
הצדדים <mask> וחתמו על ההסכם.,לא מצא את ידיו ואת רגליו,0
